nameOfIssuer	titleOfClass	cusip	value	shrsOrPrnAmt	sshPrnamt	sshPrnamtType	investmentDiscretion	otherManager	votingAuthority	Sole	Shared	None
U S WELL SVCS INC	CL A	91274U101	1727		265683	SH	SOLE	44		265683	0	0
TEEKAY TANKERS LTD	CL A	Y8565N102	6272		6758756	SH	SOLE	42		6758756	0	0
TERRAFORM PWR INC	COM CL A	88104R209	20574		1833692	SH	SOLE	42		1833692	0	0
ICONIX BRAND GROUP INC	NOTE 5.750% 8/1	451055AG2	5000		10000000	PRN	SOLE	42		10000000	0	0
1347 PPTY INS HLDGS INC	COM	68244P107	3		633	SH	SOLE	18		633	0	0
1347 PPTY INS HLDGS INC	COM	68244P107	65		16077	SH	SOLE	21		16077	0	0
1ST CONSTITUTION BANCORP	COM	31986N102	133		6657	SH	SOLE	2		350	0	6307
1ST CONSTITUTION BANCORP	COM	31986N102	503		25216	SH	SOLE	18		25216	0	0
1ST CONSTITUTION BANCORP	COM	31986N102	203		10169	SH	SOLE	19		10169	0	0
1ST CONSTITUTION BANCORP	COM	31986N102	5294		265607	SH	SOLE	21		265607	0	0
1ST CONSTITUTION BANCORP	COM	31986N102	1172		58830	SH	SOLE	22		55217	0	3613
1ST SOURCE CORP	COM	336901103	653		16180	SH	SOLE	2		591	0	15589
1ST SOURCE CORP	COM	336901103	16		386	SH	SOLE	7		386	0	0
1ST SOURCE CORP	COM	336901103	2215		54897	SH	SOLE	18		54897	0	0
1ST SOURCE CORP	COM	336901103	942		23360	SH	SOLE	19		23360	0	0
1ST SOURCE CORP	COM	336901103	21566		534615	SH	SOLE	21		534615	0	0
1ST SOURCE CORP	COM	336901103	22219		550794	SH	SOLE	22		530573	0	20221
1ST SOURCE CORP	COM	336901103	278		6899	SH	SOLE	26		0	0	6899
1ST SOURCE CORP	COM	336901103	101		2512	SH	SOLE	28		2512	0	0
1ST SOURCE CORP	COM	336901103	174		4321	SH	SOLE	30		4321	0	0
1ST SOURCE CORP	COM	336901103	61		1516	SH	SOLE	40		1516	0	0
21VIANET GROUP INC	SPONSORED ADR	90138A103	126		14547	SH	SOLE	4		14547	0	0
21VIANET GROUP INC	SPONSORED ADR	90138A103	7375		853584	SH	SOLE	21		853584	0	0
21VIANET GROUP INC	SPONSORED ADR	90138A103	2972		344012	SH	SOLE	22		344012	0	0
21VIANET GROUP INC	SPONSORED ADR	90138A103	77		8905	SH	SOLE	25		8905	0	0
21VIANET GROUP INC	SPONSORED ADR	90138A103	1711		198020	SH	SOLE	30		198020	0	0
22ND CENTY GROUP INC	COM	90137F103	233		93692	SH	SOLE	2		3975	0	89717
22ND CENTY GROUP INC	COM	90137F103	7		2871	SH	SOLE	7		2871	0	0
22ND CENTY GROUP INC	COM	90137F103	952		382413	SH	SOLE	18		382413	0	0
22ND CENTY GROUP INC	COM	90137F103	403		161932	SH	SOLE	19		161932	0	0
22ND CENTY GROUP INC	COM	90137F103	10266		4122846	SH	SOLE	21		4122846	0	0
22ND CENTY GROUP INC	COM	90137F103	8249		3312997	SH	SOLE	22		3217822	0	95175
2U INC	COM	90214J101	4794		96422	SH	SOLE	2		3580	0	92842
2U INC	COM	90214J101	19		389	SH	SOLE	4		389	0	0
2U INC	COM	90214J101	45		912	SH	SOLE	7		912	0	0
2U INC	COM	90214J101	1308		26313	SH	SOLE	18		26313	0	0
2U INC	COM	90214J101	565		11360	SH	SOLE	19		11360	0	0
2U INC	COM	90214J101	41153		827702	SH	SOLE	21		827702	0	0
2U INC	COM	90214J101	76980		1548266	SH	SOLE	22		1443519	0	104747
2U INC	COM	90214J101	905		18198	SH	SOLE	26		11851	0	6347
2U INC	COM	90214J101	383		7695	SH	SOLE	28		7695	0	0
2U INC	COM	90214J101	682		13708	SH	SOLE	30		13708	0	0
2U INC	COM	90214J101	59		1190	SH	SOLE	31		1190	0	0
2U INC	COM	90214J101	287		5768	SH	SOLE	40		5768	0	0
3-D SYS CORP DEL	COM NEW	88554D205	1116		109724	SH	SOLE	2		3800	0	105924
3-D SYS CORP DEL	COM NEW	88554D205	6		575	SH	SOLE	4		575	0	0
3-D SYS CORP DEL	COM NEW	88554D205	24		2383	SH	SOLE	7		2383	0	0
3-D SYS CORP DEL	COM NEW	88554D205	0		17	SH	SOLE	17		0	0	17
3-D SYS CORP DEL	COM NEW	88554D205	5784		568764	SH	SOLE	18		568764	0	0
3-D SYS CORP DEL	COM NEW	88554D205	1632		160514	SH	SOLE	19		160514	0	0
3-D SYS CORP DEL	COM NEW	88554D205	120393		11838032	SH	SOLE	21		11838032	0	0
3-D SYS CORP DEL	COM NEW	88554D205	32138		3160126	SH	SOLE	22		3025675	0	134451
3-D SYS CORP DEL	COM NEW	88554D205	150		14748	SH	SOLE	26		7374	0	7374
3-D SYS CORP DEL	COM NEW	88554D205	156		15374	SH	SOLE	28		15374	0	0
3-D SYS CORP DEL	COM NEW	88554D205	40		3886	SH	SOLE	29		0	0	3886
3-D SYS CORP DEL	COM NEW	88554D205	2298		225985	SH	SOLE	30		225985	0	0
3-D SYS CORP DEL	COM NEW	88554D205	113		11083	SH	SOLE	40		11083	0	0
3M CO	COM	88579Y101	293151		1538525	SH	SOLE	2		231823	0	1306702
3M CO	COM	88579Y101	42283		221913	SH	SOLE	4		206248	0	15665
3M CO	COM	88579Y101	103412		542732	SH	SOLE	7		496802	0	45930
3M CO	COM	88579Y101	5655		29680	SH	SOLE	13		29680	0	0
3M CO	COM	88579Y101	942		4942	SH	SOLE	15		4942	0	0
3M CO	COM	88579Y101	10		50	SH	SOLE	17		0	0	50
3M CO	COM	88579Y101	350198		1837922	SH	SOLE	18		1748347	0	89575
3M CO	COM	88579Y101	268078		1406937	SH	SOLE	19		1406937	0	0
3M CO	COM	88579Y101	4504		23636	SH	SOLE	20		23636	0	0
3M CO	COM	88579Y101	2289503		12015864	SH	SOLE	21		12015864	0	0
3M CO	COM	88579Y101	2737919		14369263	SH	SOLE	22		12719463	0	1649800
3M CO	COM	88579Y101	83759		439589	SH	SOLE	23		439589	0	0
3M CO	COM	88579Y101	106434		558589	SH	SOLE	25		558589	0	0
3M CO	COM	88579Y101	487349		2557727	SH	SOLE	26		589179	0	1968548
3M CO	COM	88579Y101	21422		112429	SH	SOLE	28		81968	0	30461
3M CO	COM	88579Y101	21109		110787	SH	SOLE	29		35616	0	75171
3M CO	COM	88579Y101	411318		2158694	SH	SOLE	30		2158694	0	0
3M CO	COM	88579Y101	54635		286737	SH	SOLE	31		144480	0	142257
3M CO	COM	88579Y101	21798		114401	SH	SOLE	32		114401	0	0
3M CO	COM	88579Y101	37637		197530	SH	SOLE	34		197530	0	0
3M CO	COM	88579Y101	89778		471177	SH	SOLE	36		471177	0	0
3M CO	COM	88579Y101	1937		10167	SH	SOLE	37		10167	0	0
3M CO	COM	88579Y101	2602		13657	SH	SOLE	40		13657	0	0
500 COM LTD	SPON ADR REP A	33829R100	31		4075	SH	SOLE	4		4075	0	0
500 COM LTD	SPON ADR REP A	33829R100	94		12367	SH	SOLE	21		12367	0	0
500 COM LTD	SPON ADR REP A	33829R100	570		75223	SH	SOLE	22		75223	0	0
500 COM LTD	SPON ADR REP A	33829R100	435		57426	SH	SOLE	30		57426	0	0
51JOB INC	SP ADR REP COM	316827104	1705		27310	SH	SOLE	2		838	0	26472
51JOB INC	SP ADR REP COM	316827104	373		5968	SH	SOLE	4		5968	0	0
51JOB INC	SP ADR REP COM	316827104	522		8361	SH	SOLE	7		3455	0	4906
51JOB INC	SP ADR REP COM	316827104	839		13430	SH	SOLE	15		13430	0	0
51JOB INC	SP ADR REP COM	316827104	543		8689	SH	SOLE	18		8689	0	0
51JOB INC	SP ADR REP COM	316827104	10		156	SH	SOLE	19		156	0	0
51JOB INC	SP ADR REP COM	316827104	40260		644771	SH	SOLE	21		644771	0	0
51JOB INC	SP ADR REP COM	316827104	20386		326491	SH	SOLE	22		302740	0	23751
51JOB INC	SP ADR REP COM	316827104	798		12784	SH	SOLE	23		12784	0	0
51JOB INC	SP ADR REP COM	316827104	612		9799	SH	SOLE	25		9799	0	0
51JOB INC	SP ADR REP COM	316827104	8967		143605	SH	SOLE	26		53578	0	90027
