nameOfIssuer	titleOfClass	cusip	value	shrsOrPrnAmt	sshPrnamt	sshPrnamtType	investmentDiscretion	otherManager	votingAuthority	Sole	Shared	None
51JOB INC	SP ADR REP COM	316827104	243		3898	SH	SOLE	28		3898	0	0
51JOB INC	SP ADR REP COM	316827104	308		4925	SH	SOLE	29		2595	0	2330
51JOB INC	SP ADR REP COM	316827104	11298		180935	SH	SOLE	30		180935	0	0
51JOB INC	SP ADR REP COM	316827104	90		1437	SH	SOLE	31		1437	0	0
51JOB INC	SP ADR REP COM	316827104	112		1792	SH	SOLE	34		1792	0	0
51JOB INC	SP ADR REP COM	316827104	16		251	SH	SOLE	40		251	0	0
58 COM INC	SPON ADR REP A	31680Q104	4981		91886	SH	SOLE	2		8170	0	83716
58 COM INC	SPON ADR REP A	31680Q104	1404		25893	SH	SOLE	4		25893	0	0
58 COM INC	SPON ADR REP A	31680Q104	681		12556	SH	SOLE	7		12556	0	0
58 COM INC	SPON ADR REP A	31680Q104	37		687	SH	SOLE	13		687	0	0
58 COM INC	SPON ADR REP A	31680Q104	2686		49547	SH	SOLE	15		49547	0	0
58 COM INC	SPON ADR REP A	31680Q104	2034		37526	SH	SOLE	18		37526	0	0
58 COM INC	SPON ADR REP A	31680Q104	7734		142672	SH	SOLE	19		142672	0	0
58 COM INC	SPON ADR REP A	31680Q104	102750		1895409	SH	SOLE	21		1895409	0	0
58 COM INC	SPON ADR REP A	31680Q104	72209		1332016	SH	SOLE	22		1245878	0	86138
58 COM INC	SPON ADR REP A	31680Q104	2935		54147	SH	SOLE	23		54147	0	0
58 COM INC	SPON ADR REP A	31680Q104	2412		44487	SH	SOLE	25		44487	0	0
58 COM INC	SPON ADR REP A	31680Q104	21344		393729	SH	SOLE	26		71153	0	322576
58 COM INC	SPON ADR REP A	31680Q104	662		12204	SH	SOLE	28		12204	0	0
58 COM INC	SPON ADR REP A	31680Q104	1049		19351	SH	SOLE	29		10801	0	8550
58 COM INC	SPON ADR REP A	31680Q104	30036		554062	SH	SOLE	30		554062	0	0
58 COM INC	SPON ADR REP A	31680Q104	292		5391	SH	SOLE	31		5391	0	0
58 COM INC	SPON ADR REP A	31680Q104	313		5776	SH	SOLE	32		5776	0	0
58 COM INC	SPON ADR REP A	31680Q104	24698		455593	SH	SOLE	34		455593	0	0
58 COM INC	SPON ADR REP A	31680Q104	47		872	SH	SOLE	40		872	0	0
8X8 INC NEW	COM	282914100	1359		75314	SH	SOLE	2		4205	0	71109
8X8 INC NEW	COM	282914100	8		422	SH	SOLE	4		422	0	0
8X8 INC NEW	COM	282914100	36		1985	SH	SOLE	7		1985	0	0
8X8 INC NEW	COM	282914100	8519		472226	SH	SOLE	18		472226	0	0
8X8 INC NEW	COM	282914100	3246		179910	SH	SOLE	19		179910	0	0
8X8 INC NEW	COM	282914100	182615		10122767	SH	SOLE	21		10122767	0	0
8X8 INC NEW	COM	282914100	49728		2756518	SH	SOLE	22		2642833	0	113685
8X8 INC NEW	COM	282914100	52		2879	SH	SOLE	23		2879	0	0
8X8 INC NEW	COM	282914100	733		40607	SH	SOLE	26		34365	0	6242
8X8 INC NEW	COM	282914100	233		12935	SH	SOLE	28		12935	0	0
8X8 INC NEW	COM	282914100	88		4855	SH	SOLE	29		0	0	4855
8X8 INC NEW	COM	282914100	3442		190774	SH	SOLE	30		190774	0	0
8X8 INC NEW	COM	282914100	190		10544	SH	SOLE	40		10544	0	0
A H BELO CORP	COM CL A	001282102	12		3533	SH	SOLE	18		3533	0	0
A H BELO CORP	COM CL A	001282102	224		66349	SH	SOLE	21		66349	0	0
A H BELO CORP	COM CL A	001282102	1612		478360	SH	SOLE	22		478360	0	0
A MARK PRECIOUS METALS INC	COM	00181T107	10		870	SH	SOLE	18		870	0	0
A MARK PRECIOUS METALS INC	COM	00181T107	164		13906	SH	SOLE	21		13906	0	0
A10 NETWORKS INC	COM	002121101	272		43597	SH	SOLE	2		6006	0	37591
A10 NETWORKS INC	COM	002121101	6		1036	SH	SOLE	7		1036	0	0
A10 NETWORKS INC	COM	002121101	1190		190708	SH	SOLE	18		190708	0	0
A10 NETWORKS INC	COM	002121101	2704		433274	SH	SOLE	19		433274	0	0
A10 NETWORKS INC	COM	002121101	11331		1815822	SH	SOLE	21		1815822	0	0
A10 NETWORKS INC	COM	002121101	11152		1787202	SH	SOLE	22		1714732	0	72470
A10 NETWORKS INC	COM	002121101	608		97451	SH	SOLE	23		97451	0	0
A10 NETWORKS INC	COM	002121101	1619		259418	SH	SOLE	26		0	0	259418
A10 NETWORKS INC	COM	002121101	29		4609	SH	SOLE	28		4609	0	0
A10 NETWORKS INC	COM	002121101	355		56843	SH	SOLE	29		0	0	56843
A10 NETWORKS INC	COM	002121101	111		17866	SH	SOLE	30		17866	0	0
AAC HLDGS INC	COM	000307108	17		11886	SH	SOLE	2		454	0	11432
AAC HLDGS INC	COM	000307108	0		174	SH	SOLE	7		174	0	0
AAC HLDGS INC	COM	000307108	63		45291	SH	SOLE	18		45291	0	0
AAC HLDGS INC	COM	000307108	26		18278	SH	SOLE	19		18278	0	0
AAC HLDGS INC	COM	000307108	678		484288	SH	SOLE	21		484288	0	0
AAC HLDGS INC	COM	000307108	339		241849	SH	SOLE	22		234750	0	7099
AAON INC	COM PAR $0.004	000360206	1154		32910	SH	SOLE	2		1442	0	31468
AAON INC	COM PAR $0.004	000360206	7		209	SH	SOLE	4		209	0	0
AAON INC	COM PAR $0.004	000360206	31		895	SH	SOLE	7		895	0	0
AAON INC	COM PAR $0.004	000360206	7169		204468	SH	SOLE	18		204468	0	0
AAON INC	COM PAR $0.004	000360206	2158		61549	SH	SOLE	19		61549	0	0
AAON INC	COM PAR $0.004	000360206	151248		4313969	SH	SOLE	21		4313969	0	0
AAON INC	COM PAR $0.004	000360206	40250		1148044	SH	SOLE	22		1093005	0	55039
AAON INC	COM PAR $0.004	000360206	643		18340	SH	SOLE	26		15487	0	2853
AAON INC	COM PAR $0.004	000360206	214		6115	SH	SOLE	28		6115	0	0
AAON INC	COM PAR $0.004	000360206	2819		80406	SH	SOLE	30		80406	0	0
AAON INC	COM PAR $0.004	000360206	165		4716	SH	SOLE	40		4716	0	0
AAR CORP	COM	000361105	1386		37118	SH	SOLE	2		1137	0	35981
AAR CORP	COM	000361105	2		66	SH	SOLE	4		66	0	0
AAR CORP	COM	000361105	25		657	SH	SOLE	7		657	0	0
AAR CORP	COM	000361105	6331		169546	SH	SOLE	18		169546	0	0
AAR CORP	COM	000361105	1829		48989	SH	SOLE	19		48989	0	0
AAR CORP	COM	000361105	181305		4855517	SH	SOLE	21		4855517	0	0
AAR CORP	COM	000361105	35797		958667	SH	SOLE	22		914584	0	44083
AAR CORP	COM	000361105	536		14342	SH	SOLE	26		5768	0	8574
AAR CORP	COM	000361105	179		4796	SH	SOLE	28		4796	0	0
AAR CORP	COM	000361105	2490		66684	SH	SOLE	30		66684	0	0
AAR CORP	COM	000361105	134		3586	SH	SOLE	40		3586	0	0
AARONS INC	COM PAR $0.50	002535300	4516		107391	SH	SOLE	2		39043	0	68348
AARONS INC	COM PAR $0.50	002535300	13		307	SH	SOLE	4		307	0	0
AARONS INC	COM PAR $0.50	002535300	53		1249	SH	SOLE	7		1249	0	0
AARONS INC	COM PAR $0.50	002535300	16827		400159	SH	SOLE	18		400159	0	0
AARONS INC	COM PAR $0.50	002535300	6858		163089	SH	SOLE	19		163089	0	0
AARONS INC	COM PAR $0.50	002535300	206881		4919877	SH	SOLE	21		4919877	0	0
AARONS INC	COM PAR $0.50	002535300	115426		2744975	SH	SOLE	22		2569009	0	175966
AARONS INC	COM PAR $0.50	002535300	1165		27715	SH	SOLE	23		27715	0	0
AARONS INC	COM PAR $0.50	002535300	2161		51387	SH	SOLE	26		6447	0	44940
AARONS INC	COM PAR $0.50	002535300	396		9416	SH	SOLE	28		9416	0	0
AARONS INC	COM PAR $0.50	002535300	440		10460	SH	SOLE	29		0	0	10460
AARONS INC	COM PAR $0.50	002535300	702		16688	SH	SOLE	30		16688	0	0
AARONS INC	COM PAR $0.50	002535300	52		1246	SH	SOLE	36		1246	0	0
AARONS INC	COM PAR $0.50	002535300	302		7185	SH	SOLE	40		7185	0	0
ABB LTD	SPONSORED ADR	000375204	34544		1817164	SH	SOLE	18		1817164	0	0
ABB LTD	SPONSORED ADR	000375204	37302		1962228	SH	SOLE	19		1962228	0	0
ABB LTD	SPONSORED ADR	000375204	1559		82024	SH	SOLE	23		82024	0	0
ABB LTD	SPONSORED ADR	000375204	9036		475308	SH	SOLE	34		475308	0	0
ABBOTT LABS	COM	002824100	377275		5216026	SH	SOLE	2		1299714	0	3916312
ABBOTT LABS	COM	002824100	44457		614648	SH	SOLE	4		568389	0	46259
ABBOTT LABS	COM	002824100	109029		1507383	SH	SOLE	7		1376071	0	131312
ABBOTT LABS	COM	002824100	2556		35335	SH	SOLE	13		35335	0	0
ABBOTT LABS	COM	002824100	1116		15423	SH	SOLE	15		15423	0	0
ABBOTT LABS	COM	002824100	6		77	SH	SOLE	17		0	0	77
ABBOTT LABS	COM	002824100	325076		4494340	SH	SOLE	18		4276663	0	217677
ABBOTT LABS	COM	002824100	417176		5767681	SH	SOLE	19		5767681	0	0
ABBOTT LABS	COM	002824100	9053		125156	SH	SOLE	20		125156	0	0
ABBOTT LABS	COM	002824100	2781332		38453364	SH	SOLE	21		38453364	0	0
ABBOTT LABS	COM	002824100	3066227		42392188	SH	SOLE	22		37684907	0	4707281
ABBOTT LABS	COM	002824100	90862		1256215	SH	SOLE	23		1256215	0	0
ABBOTT LABS	COM	002824100	205234		2837471	SH	SOLE	25		2837471	0	0
ABBOTT LABS	COM	002824100	441240		6100378	SH	SOLE	26		1677921	0	4422457
ABBOTT LABS	COM	002824100	24389		337194	SH	SOLE	28		246931	0	90263
ABBOTT LABS	COM	002824100	16377		226417	SH	SOLE	29		72898	0	153519
ABBOTT LABS	COM	002824100	482382		6669177	SH	SOLE	30		6669177	0	0
ABBOTT LABS	COM	002824100	56618		782770	SH	SOLE	31		391520	0	391250
ABBOTT LABS	COM	002824100	204723		2830405	SH	SOLE	34		2830405	0	0
ABBOTT LABS	COM	002824100	97156		1343235	SH	SOLE	36		1343235	0	0
ABBOTT LABS	COM	002824100	2944		40707	SH	SOLE	40		40707	0	0
ABBVIE INC	COM	00287Y109	369254		4005356	SH	SOLE	2		590860	0	3414496
ABBVIE INC	COM	00287Y109	51618		559914	SH	SOLE	4		519899	0	40015
ABBVIE INC	COM	00287Y109	123137		1335682	SH	SOLE	7		1233272	0	102410
ABBVIE INC	COM	00287Y109	7103		77047	SH	SOLE	13		77047	0	0
ABBVIE INC	COM	00287Y109	1247		13521	SH	SOLE	15		13521	0	0
ABBVIE INC	COM	00287Y109	2		25	SH	SOLE	17		0	0	25
ABBVIE INC	COM	00287Y109	416771		4520783	SH	SOLE	18		4320070	0	200713
ABBVIE INC	COM	00287Y109	149768		1624556	SH	SOLE	19		1624556	0	0
ABBVIE INC	COM	00287Y109	2622166		28443066	SH	SOLE	21		28443066	0	0
ABBVIE INC	COM	00287Y109	3446423		37383917	SH	SOLE	22		33063819	0	4320098
ABBVIE INC	COM	00287Y109	107297		1163866	SH	SOLE	23		1163866	0	0
ABBVIE INC	COM	00287Y109	135537		1470193	SH	SOLE	25		1470193	0	0
ABBVIE INC	COM	00287Y109	573004		6215473	SH	SOLE	26		1535676	0	4679797
ABBVIE INC	COM	00287Y109	26910		291902	SH	SOLE	28		213641	0	78261
ABBVIE INC	COM	00287Y109	32520		352750	SH	SOLE	29		109139	0	243611
ABBVIE INC	COM	00287Y109	509130		5522620	SH	SOLE	30		5522620	0	0
ABBVIE INC	COM	00287Y109	68988		748326	SH	SOLE	31		406834	0	341492
ABBVIE INC	COM	00287Y109	3544		38444	SH	SOLE	32		38444	0	0
ABBVIE INC	COM	00287Y109	66784		724416	SH	SOLE	34		724416	0	0
ABBVIE INC	COM	00287Y109	114269		1239499	SH	SOLE	36		1239499	0	0
ABBVIE INC	COM	00287Y109	2074		22498	SH	SOLE	37		22498	0	0
ABBVIE INC	COM	00287Y109	3231		35045	SH	SOLE	40		35045	0	0
ABEONA THERAPEUTICS INC	COM	00289Y107	179		25035	SH	SOLE	2		1193	0	23842
ABEONA THERAPEUTICS INC	COM	00289Y107	5		745	SH	SOLE	7		745	0	0
ABEONA THERAPEUTICS INC	COM	00289Y107	742		103903	SH	SOLE	18		103903	0	0
ABEONA THERAPEUTICS INC	COM	00289Y107	312		43728	SH	SOLE	19		43728	0	0
ABEONA THERAPEUTICS INC	COM	00289Y107	7734		1083134	SH	SOLE	21		1083134	0	0
ABEONA THERAPEUTICS INC	COM	00289Y107	6780		949597	SH	SOLE	22		907993	0	41604
ABEONA THERAPEUTICS INC	COM	00289Y107	31		4374	SH	SOLE	26		0	0	4374
ABEONA THERAPEUTICS INC	COM	00289Y107	61		8590	SH	SOLE	30		8590	0	0
ABEONA THERAPEUTICS INC	COM	00289Y107	23		3194	SH	SOLE	40		3194	0	0
ABERCROMBIE  FITCH CO	CL A	002896207	1371		68381	SH	SOLE	2		2343	0	66038
ABERCROMBIE  FITCH CO	CL A	002896207	7		349	SH	SOLE	4		349	0	0
ABERCROMBIE  FITCH CO	CL A	002896207	66		3309	SH	SOLE	7		3309	0	0
ABERCROMBIE  FITCH CO	CL A	002896207	6889		343607	SH	SOLE	18		343607	0	0
ABERCROMBIE  FITCH CO	CL A	002896207	2208		110129	SH	SOLE	19		110129	0	0
ABERCROMBIE  FITCH CO	CL A	002896207	141500		7057374	SH	SOLE	21		7057374	0	0
ABERCROMBIE  FITCH CO	CL A	002896207	39804		1985241	SH	SOLE	22		1868436	0	116805
ABERCROMBIE  FITCH CO	CL A	002896207	75		3746	SH	SOLE	23		3746	0	0
ABERCROMBIE  FITCH CO	CL A	002896207	383		19124	SH	SOLE	26		8806	0	10318
ABERCROMBIE  FITCH CO	CL A	002896207	164		8162	SH	SOLE	28		8162	0	0
ABERCROMBIE  FITCH CO	CL A	002896207	2695		134424	SH	SOLE	30		134424	0	0
ABERCROMBIE  FITCH CO	CL A	002896207	135		6737	SH	SOLE	36		6737	0	0
ABERCROMBIE  FITCH CO	CL A	002896207	156		7770	SH	SOLE	40		7770	0	0
ABERDEEN GLOBAL DYNAMIC DIVI	COM	00302M106	920		108100	SH	SOLE	2		108100	0	0
ABERDEEN TOTAL DYNAMIC DIVD	COM SH BEN INT	00326L100	1831		254000	SH	SOLE	2		254000	0	0
ABIOMED INC	COM	003654100	32751		100759	SH	SOLE	2		6803	0	93956
ABIOMED INC	COM	003654100	4488		13808	SH	SOLE	4		12693	0	1115
ABIOMED INC	COM	003654100	13578		41774	SH	SOLE	7		33317	0	8457
ABIOMED INC	COM	003654100	80		247	SH	SOLE	13		247	0	0
ABIOMED INC	COM	003654100	113		349	SH	SOLE	15		349	0	0
ABIOMED INC	COM	003654100	35431		109006	SH	SOLE	18		103693	0	5313
ABIOMED INC	COM	003654100	4186		12879	SH	SOLE	19		12879	0	0
ABIOMED INC	COM	003654100	416250		1280613	SH	SOLE	21		1280613	0	0
ABIOMED INC	COM	003654100	347322		1068553	SH	SOLE	22		958238	0	110315
ABIOMED INC	COM	003654100	9602		29542	SH	SOLE	23		29542	0	0
ABIOMED INC	COM	003654100	21319		65588	SH	SOLE	25		65588	0	0
ABIOMED INC	COM	003654100	61561		189394	SH	SOLE	26		51170	0	138224
ABIOMED INC	COM	003654100	2713		8347	SH	SOLE	28		6167	0	2180
ABIOMED INC	COM	003654100	3325		10228	SH	SOLE	29		1516	0	8712
ABIOMED INC	COM	003654100	59031		181610	SH	SOLE	30		181610	0	0
ABIOMED INC	COM	003654100	5166		15894	SH	SOLE	31		9098	0	6796
ABIOMED INC	COM	003654100	1989		6120	SH	SOLE	34		6120	0	0
ABIOMED INC	COM	003654100	9558		29406	SH	SOLE	36		29406	0	0
ABIOMED INC	COM	003654100	366		1125	SH	SOLE	40		1125	0	0
ABM INDS INC	COM	000957100	2161		67300	SH	SOLE	2		2313	0	64987
ABM INDS INC	COM	000957100	11		343	SH	SOLE	4		343	0	0
ABM INDS INC	COM	000957100	3599		112071	SH	SOLE	7		112071	0	0
ABM INDS INC	COM	000957100	11228		349661	SH	SOLE	18		349661	0	0
ABM INDS INC	COM	000957100	3170		98738	SH	SOLE	19		98738	0	0
ABM INDS INC	COM	000957100	227687		7090855	SH	SOLE	21		7090855	0	0
ABM INDS INC	COM	000957100	62550		1947989	SH	SOLE	22		1854584	0	93405
ABM INDS INC	COM	000957100	592		18439	SH	SOLE	26		12770	0	5669
ABM INDS INC	COM	000957100	235		7312	SH	SOLE	28		7312	0	0
ABM INDS INC	COM	000957100	4275		133140	SH	SOLE	30		133140	0	0
ABM INDS INC	COM	000957100	84		2624	SH	SOLE	36		2624	0	0
ABM INDS INC	COM	000957100	198		6159	SH	SOLE	40		6159	0	0
ABRAXAS PETE CORP	COM	003830106	190		174069	SH	SOLE	2		6058	0	168011
ABRAXAS PETE CORP	COM	003830106	5		4355	SH	SOLE	7		4355	0	0
ABRAXAS PETE CORP	COM	003830106	577		529708	SH	SOLE	18		529708	0	0
ABRAXAS PETE CORP	COM	003830106	324		296962	SH	SOLE	19		296962	0	0
ABRAXAS PETE CORP	COM	003830106	6142		5634444	SH	SOLE	21		5634444	0	0
ABRAXAS PETE CORP	COM	003830106	5610		5146744	SH	SOLE	22		5029117	0	117627
AC IMMUNE SA	SHS	H00263105	6077		643071	SH	SOLE	21		643071	0	0
AC IMMUNE SA	SHS	H00263105	15		1604	SH	SOLE	30		1604	0	0
ACACIA COMMUNICATIONS INC	COM	00401C108	1018		26778	SH	SOLE	2		947	0	25831
ACACIA COMMUNICATIONS INC	COM	00401C108	5		142	SH	SOLE	4		142	0	0
ACACIA COMMUNICATIONS INC	COM	00401C108	11		292	SH	SOLE	7		292	0	0
ACACIA COMMUNICATIONS INC	COM	00401C108	3513		92448	SH	SOLE	18		92448	0	0
ACACIA COMMUNICATIONS INC	COM	00401C108	1529		40241	SH	SOLE	19		40241	0	0
ACACIA COMMUNICATIONS INC	COM	00401C108	39406		1036990	SH	SOLE	21		1036990	0	0
ACACIA COMMUNICATIONS INC	COM	00401C108	29987		789125	SH	SOLE	22		751938	0	37187
ACACIA COMMUNICATIONS INC	COM	00401C108	67		1775	SH	SOLE	26		0	0	1775
ACACIA COMMUNICATIONS INC	COM	00401C108	143		3752	SH	SOLE	28		3752	0	0
ACACIA COMMUNICATIONS INC	COM	00401C108	242		6367	SH	SOLE	30		6367	0	0
ACACIA COMMUNICATIONS INC	COM	00401C108	90		2356	SH	SOLE	40		2356	0	0
ACACIA RESH CORP	ACACIA TCH COM	003881307	95		31750	SH	SOLE	2		721	0	31029
ACACIA RESH CORP	ACACIA TCH COM	003881307	3		1136	SH	SOLE	7		1136	0	0
ACACIA RESH CORP	ACACIA TCH COM	003881307	442		148362	SH	SOLE	18		148362	0	0
ACACIA RESH CORP	ACACIA TCH COM	003881307	61		20568	SH	SOLE	19		20568	0	0
ACACIA RESH CORP	ACACIA TCH COM	003881307	3767		1264158	SH	SOLE	21		1264158	0	0
ACACIA RESH CORP	ACACIA TCH COM	003881307	3394		1138796	SH	SOLE	22		1104144	0	34652
ACADIA HEALTHCARE COMPANY IN	COM	00404A109	5242		203887	SH	SOLE	2		42240	0	161647
ACADIA HEALTHCARE COMPANY IN	COM	00404A109	11		425	SH	SOLE	4		425	0	0
ACADIA HEALTHCARE COMPANY IN	COM	00404A109	60		2332	SH	SOLE	7		2332	0	0
